state,district,totalHouseholds,prcntBA,prcntHS,prcntAsian,prcntBlack,prcntHisp,prcntWhiteAll,lastName,firstName,middleName,age,gender,numberTerms,daysServed,fracServed,cd,statenm,dwnom1,dwnom2,black,hispanic,numSpon,numCosp,numPassH,numEnact,passPrcnt,congNum,partyControl
AK,0.0,106181.0,14.14028316,66.65807269,3.148423239,1.514893993,1.530580164,40.67506518,Young,Don,E.,39.0,M,1.0,716.0,1.0,1.0, ALASKA ,0.115000002,0.123000003,0.0,0.0,30.0,113.0,3.0,2.0,6.666666667,93.0,D
AL,3.0,162704.0,6.874169702,36.86503393,0.072508749,27.75627704,1.018865937,60.95304924,Nichols,William,Flynt,54.0,M,4.0,716.0,1.0,3.0, ALABAMA,-0.009,0.902999997,0.0,0.0,20.0,103.0,1.0,0.0,0.0,93.0,D
AL,2.0,165462.0,8.356175697,43.11956552,0.117106618,27.59737198,0.820255615,64.94514281,Dickinson,William,Louis,47.0,M,5.0,716.0,1.0,2.0, ALABAMA,0.342999995,0.033,0.0,0.0,33.0,89.0,2.0,1.0,3.03030303,93.0,D
AL,1.0,148712.0,6.83016319,40.29752317,0.276787571,29.58185569,1.632953531,60.56237198,Edwards,William,Jackson,44.0,M,5.0,716.0,1.0,1.0, ALABAMA,0.164000005,0.109999999,0.0,0.0,50.0,73.0,0.0,0.0,0.0,93.0,D
AL,7.0,155829.0,7.359127479,38.46485657,0.055956299,34.44045548,1.064326963,56.38104947,Flowers,Walter, ,39.0,M,3.0,716.0,1.0,7.0, ALABAMA,-0.109999999,0.726000011,0.0,0.0,9.0,68.0,0.0,0.0,0.0,93.0,D
AL,5.0,153957.0,10.94925222,48.56189518,0.083418661,11.11416904,0.619677359,72.50244017,Jones,Robert,Emmett,60.0,M,14.0,716.0,1.0,5.0, ALABAMA,-0.314999998,0.86500001,0.0,0.0,12.0,42.0,2.0,0.0,0.0,93.0,D
AL,4.0,159228.0,4.100964719,32.54818143,0.028961908,8.503661757,1.062787995,91.13522578,Bevill,Tom, ,51.0,M,4.0,716.0,1.0,4.0, ALABAMA,-0.143000007,0.99000001,0.0,0.0,17.0,136.0,1.0,1.0,5.882352941,93.0,D
AL,6.0,168636.0,10.57789275,49.20053785,0.074171593,21.46026594,1.678751432,49.99629868,Buchanan,John,Hall,44.0,M,5.0,716.0,1.0,6.0, ALABAMA,0.086999997,-0.239999995,0.0,0.0,6.0,148.0,0.0,0.0,0.0,93.0,D
AR,3.0,175034.0,6.633541535,41.91612458,0.275196594,2.201222629,0.593216464,81.71990869,Hammerschmidt,John,Paul,50.0,M,4.0,716.0,1.0,3.0, ARKANSA,0.174999997,0.195999995,0.0,0.0,40.0,126.0,1.0,1.0,2.5,93.0,D
AR,4.0,162178.0,5.919240952,38.03674457,0.111715619,29.18430173,1.434402381,63.84034541,Thornton,Raymond,Hoyt,44.0,M,1.0,716.0,1.0,4.0, ARKANSA,-0.243000001,0.791000009,0.0,0.0,8.0,67.0,0.0,0.0,0.0,93.0,D
