Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
George W. Andrews,Democratic,3rd,Alabama,1944-03-14,1963-01-03,1944,1963,6869 days,18.81917808219178,87,1961,1963,17
Frank W. Boykin,Democratic,1st,Alabama,1935-07-30,1963-01-03,1935,1963,10019 days,27.44931506849315,87,1961,1963,26
Carl Elliott,Democratic,7th,Alabama,1949-01-03,1963-01-03,1949,1963,5113 days,14.008219178082191,87,1961,1963,12
George M. Grant,Democratic,2nd,Alabama,1938-06-14,1963-01-03,1938,1963,8969 days,24.572602739726026,87,1961,1963,23
George Huddleston Jr.,Democratic,9th,Alabama,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Robert E. Jones Jr.,Democratic,8th,Alabama,1947-01-28,1963-01-03,1947,1963,5819 days,15.942465753424658,87,1961,1963,14
Albert Rains,Democratic,5th,Alabama,1945-01-03,1963-01-03,1945,1963,6574 days,18.01095890410959,87,1961,1963,16
Kenneth A. Roberts,Democratic,4th,Alabama,1951-01-03,1963-01-03,1951,1963,4383 days,12.008219178082191,87,1961,1963,10
Armistead I. Selden Jr.,Democratic,6th,Alabama,1953-01-03,1963-01-03,1953,1963,3652 days,10.005479452054795,87,1961,1963,8
John Jacob Rhodes,Republican,1st,Arizona,1953-01-03,1983-01-03,1953,1983,10957 days,30.019178082191782,87,1961,1963,8
Mo Udall,Democratic,2nd,Arizona,1961-05-02,1991-05-04,1961,1991,10959 days,30.024657534246575,87,1961,1963,0
Dale Alford,Democratic,5th,Arkansas,1959-01-03,1963-01-03,1959,1963,1461 days,4.002739726027397,87,1961,1963,2
Ezekiel C. Gathings,Democratic,1st,Arkansas,1939-01-03,1969-01-03,1939,1969,10958 days,30.02191780821918,87,1961,1963,22
Oren Harris,Democratic,4th,Arkansas,1953-01-03,1966-02-02,1953,1966,4778 days,13.09041095890411,87,1961,1963,8
Wilbur Mills,Democratic,2nd,Arkansas,1939-01-03,1977-01-03,1939,1977,13880 days,38.02739726027397,87,1961,1963,22
Catherine Dorris Norrell,Democratic,6th,Arkansas,1961-04-18,1963-01-03,1961,1963,625 days,1.7123287671232876,87,1961,1963,0
James William Trimble,Democratic,3rd,Arkansas,1945-01-03,1967-01-03,1945,1967,8035 days,22.013698630136986,87,1961,1963,16
John F. Baldwin Jr.,Republican,6th,California,1955-01-03,1963-01-03,1955,1963,2922 days,8.005479452054795,87,1961,1963,6
Alphonzo E. Bell Jr.,Republican,16th,California,1961-01-03,1963-01-03,1961,1963,730 days,2.0,87,1961,1963,0
Jeffery Cohelan,Democratic,7th,California,1959-01-03,1971-01-03,1959,1971,4383 days,12.008219178082191,87,1961,1963,2
James C. Corman,Democratic,22nd,California,1961-01-03,1975-01-03,1961,1975,5113 days,14.008219178082191,87,1961,1963,0
